LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
GB 658 .C43 2005,022015,"Chalufour, Ingrid","Chalufour, Ingrid;Worth, Karen",022015,Monograph,Learning Commons,Activity,,,,,129 p. : ill. ; 28 cm.,,text,Learning Commons,1929610548 (pbk.),9781929610549,1929610548,GB 658 .C43 2005,2004029765,"St. Paul, Minn.",c2005,2005,Redleaf Press,,Available,Water - Study and teaching (Early childhood);Water - Experiments,Exploring water with young children,
QC 981.3 .A38 1993,022465,Scholastic Inc,,022465,Monograph,Learning Commons,Activity,,"Scholastic Inc;Franklin Institute (Philadelphia, Pa.)",4,,32 p. : col. ill. ; 28 cm.,,text,Learning Commons,0590261355,9780590261357,0590261355,QC 981.3 .A38 1993,,"New York, N.Y.",c1993,1993,Scholastic,,Available,Weather - Study and teaching (Primary);Air - Study and teaching (Primary);Water - Study and teaching (Primary),"Air, sun, and water : how weather works","Air, sun, & water"
GB 1002.25 .W38 2009,021433,"Soukhome, Jennifer","Soukhome, Jennifer",021433,Monograph,Learning Commons,Act-nonc,,,,,"xvi, 175 p. : ill. ; 28 cm.",,text,Learning Commons,9781933531489,9781933531489,1933531487,GB 1002.25 .W38 2009,2009011292,"Arlington, Va.",c2009,2009,"NSTA Press, National Science Teachers Association",,Non-Circulating,Watersheds - Study and teaching (Secondary) - Activity programs;Watershed ecology - Study and teaching (Secondary) - Activity programs;Water quality - Study and teaching (Secondary) - Activity programs;Stream measurements - Study and teaching (Secondary) - Activity programs,Watershed investigations : 12 labs for high school science,
GB 1002.25 .W38 2009,020652,"Soukhome, Jennifer","Soukhome, Jennifer",020652,Monograph,Learning Commons,Activity,,,,,"xvi, 175 p. : ill. ; 28 cm.",,text,Learning Commons,9781933531489,9781933531489,1933531487,GB 1002.25 .W38 2009,2009011292,"Arlington, Va.",c2009,2009,"NSTA Press, National Science Teachers Association",,Available,Watersheds - Study and teaching (Secondary) - Activity programs;Watershed ecology - Study and teaching (Secondary) - Activity programs;Water quality - Study and teaching (Secondary) - Activity programs;Stream measurements - Study and teaching (Secondary) - Activity programs,Watershed investigations : 12 labs for high school science,
HD 1695 .K55 .V5 2010,020536,"Jensen, Judith","Jensen, Judith;Luxton, Susan",020536,Monograph,Learning Commons,General,,Educational Solutions (Organization);Oregon Watershed Enhancement Board;Walter S. Johnson Foundation,,,"1 videodisc (ca. 59 min.) : sd., col. with b&w sequences ; 4 3/4 in.",,videorecording,Learning Commons,,,,HD 1695 .K55 .V5 2010,,"Klamath Falls, Or.",c2010,2010,Educational Solutions,,Available,Water rights;Fishes - Habitat;Fisheries - California,Vision of the river : working together on the Klamath,
HD 1695 .K55 .V5 2010,020542,"Jensen, Judith","Jensen, Judith;Luxton, Susan",020542,Monograph,Learning Commons,Gen-nonc,,Educational Solutions (Organization);Oregon Watershed Enhancement Board;Walter S. Johnson Foundation,,,"1 videodisc (ca. 59 min.) : sd., col. with b&w sequences ; 4 3/4 in.",,videorecording,Learning Commons,,,,HD 1695 .K55 .V5 2010,,"Klamath Falls, Or.",c2010,2010,Educational Solutions,,Available,Water rights;Fishes - Habitat;Fisheries - California,Vision of the river : working together on the Klamath,
QC 920 .Z38 2009 ,020187,"Zdravic, Andrej","Zdravic, Andrej;Doherty, Paul",020187,DVD,Learning Commons,General,,"Exploratorium (San Francisco, Calif.)",,,"1 videodisc : sd., col. & b&w ; 4 3/4 in.",Combined edition,DVD/videorecording,Learning Commons,,,,QC 920 .Z38 2009,,"San Francisco, Calif.",c.2009,2009,Canyon Cinema,,Available,Forms of water;Hydrologic cycle;Glaciers;Geysers,Water cycle/water wave,
TD 224 H83 2001,021161,"Hundley, Norris","Hundley, Norris",021161,Monograph,Learning Commons,General,,,,,"xxiii, 799 p. : ill., maps ; 24 cm.",Rev. ed.,text,Learning Commons,0520224558 (cloth : alk. paper),9780520224551,0520224558,TD 224 H83 2001,00059002,Berkeley,c2001,2001,University of California Press,,Available,Water-supply - California - History;Watervoorziening;California - History,The great thirst : Californians and water -a history,
GE 155 .C2 S28 2009,022645,"Blatman, Ron","Blatman, Ron;Saunders, Miles;Redford, Robert",022645,DVD,Learning Commons,General,,"Ronald M. Blatman, Inc;KQED-TV (Television station : San Francisco, Calif.);KTEH-TV (Television station : San Jose, Calif.)",,2013-05-15 09:31:00.170,"2 videodiscs (ca. 240 min.) : sd., col. and b&w ; 4 3/4 in.",,videorecording,Learning Commons,,,,GE 155 .C2 S28 2009,,San Francisco,c2009,2009,"Ronald M. Blatman, Inc., and KQED/KTEH Public Television",,On Loan,"Save the Bay (Oakland, Calif.);Environmental protection - California - San Francisco Bay Area - Citizen participation;Environmental protection - California - San Francisco Bay Area - History;Environmentalism - California - San Francisco Bay Area;Water quality management - California - San Francisco Bay Area;Water quality management - California - San Francisco Bay Area - History;San Francisco Bay (Calif.) - Environmental conditions;San Francisco Bay (Calif.) - History",Saving the bay : the story of San Francisco Bay,
GE 155 .C2 S28 2009,022646,"Blatman, Ron","Blatman, Ron;Saunders, Miles;Redford, Robert",022646,DVD,Learning Commons,Gen-nonc,,"Ronald M. Blatman, Inc;KQED-TV (Television station : San Francisco, Calif.);KTEH-TV (Television station : San Jose, Calif.)",39.99000000000000199,2013-07-17 15:00:10.077,"2 videodiscs (ca. 240 min.) : sd., col. and b&w ; 4 3/4 in.",,videorecording,Learning Commons,,,,GE 155 .C2 S28 2009,,San Francisco,c2009,2009,"Ronald M. Blatman, Inc., and KQED/KTEH Public Television",,On Loan,"Save the Bay (Oakland, Calif.);Environmental protection - California - San Francisco Bay Area - Citizen participation;Environmental protection - California - San Francisco Bay Area - History;Environmentalism - California - San Francisco Bay Area;Water quality management - California - San Francisco Bay Area;Water quality management - California - San Francisco Bay Area - History;San Francisco Bay (Calif.) - Environmental conditions;San Francisco Bay (Calif.) - History",Saving the bay : the story of San Francisco Bay,
TJ 820 .K36 2009,022851,"Kamkwamba, William","Kamkwamba, William;Mealer, Bryan",022851,Monograph,Learning Commons,General,,,,,"273 p. : ill., map ; 24 cm.",1st ed.,text,Learning Commons,9780061730337   (pbk),9780061730337,0061730335,TJ 820 .K36 2009,2010275963,"New York, NY",c2009,2009,William Morrow,,Available,"Kamkwamba, William, 1987-;Windmills - Malawi;Inventors - Malawi;Water-supply, Rural - Malawi;Rural electrification - Malawi;Electric power production - Malawi;Malawi - Rural conditions",The boy who harnessed the wind : creating currents of electricity and hope,
GB 1002.25 .W28 2004,020603,"Carlsen, William S","Carlsen, William S",020603,Monograph,Learning Commons,Activity,,,,,"xiii, 175 p. : ill., map ; 28 cm.",Student ed.,text,Learning Commons,087355213X,9780873552134,087355213X,GB 1002.25 .W28 2004,2004002042,"Arlington, Va.",c2004,2004,National Science Teachers Association,,Available,Watersheds - Study and teaching (Secondary) - Activity programs;Watershed ecology - Study and teaching (Secondary) - Activity programs;Water quality - Study and teaching (Secondary) - Activity programs,Watershed dynamics,
GB 1002.25 .W28 2004,020637,"Carlsen, William S","Carlsen, William S",020637,Monograph,Learning Commons,Act-nonc,,,,,"xiii, 175 p. : ill., map ; 28 cm.",Student ed.,text,Learning Commons,087355213X,9780873552134,087355213X,GB 1002.25 .W28 2004,2004002042,"Arlington, Va.",c2004,2004,National Science Teachers Association,,Non-Circulating,Watersheds - Study and teaching (Secondary) - Activity programs;Watershed ecology - Study and teaching (Secondary) - Activity programs;Water quality - Study and teaching (Secondary) - Activity programs,Watershed dynamics,
GB 1002.25 .W28 2004,021631,"Carlsen, William S","Carlsen, William S",021631,Monograph,Learning Commons,Act-nonc,,,,,"xiii, 175 p. : ill., map ; 28 cm.",Student ed.,text,Learning Commons,087355213X,9780873552134,087355213X,GB 1002.25 .W28 2004,2004002042,"Arlington, Va.",c2004,2004,National Science Teachers Association,,Non-Circulating,Watersheds - Study and teaching (Secondary) - Activity programs;Watershed ecology - Study and teaching (Secondary) - Activity programs;Water quality - Study and teaching (Secondary) - Activity programs,Watershed dynamics,
GB 1002.25 .W28 2004,020637,"Carlsen, William S","Carlsen, William S",020677,Monograph,Learning Commons,Activity,,,,,"xiii, 175 p. : ill., map ; 28 cm.",Student ed.,text,Learning Commons,087355213X,9780873552134,087355213X,GB 1002.25 .W28 2004,2004002042,"Arlington, Va.",c2004,2004,National Science Teachers Association,,Available,Watersheds - Study and teaching (Secondary) - Activity programs;Watershed ecology - Study and teaching (Secondary) - Activity programs;Water quality - Study and teaching (Secondary) - Activity programs,Watershed dynamics,
LB 1027.25 .G47 2007,020581,"Gertz, Susan E","Gertz, Susan E",020581,Monograph,Learning Commons,Activity,,,,,72 p. : ill. ; 28 cm.,,text,Learning Commons,9781883822439,9781883822439,1883822432,LB 1027.25 .G47 2007,2010280129,"Middletown, Ohio",c2007,2007,Terrific Science Press,,Available,Water - Study and teaching - Activity programs;Activity programs in education,Wet your whistle! : drinking water activity handbook,
LB 1027.25 .G47 2007,020583,"Gertz, Susan E","Gertz, Susan E",020583,Monograph,Learning Commons,Act-nonc,,,,,72 p. : ill. ; 28 cm.,,text,Learning Commons,9781883822439,9781883822439,1883822432,LB 1027.25 .G47 2007,2010280129,"Middletown, Ohio",c2007,2007,Terrific Science Press,,Non-Circulating,Water - Study and teaching - Activity programs;Activity programs in education,Wet your whistle! : drinking water activity handbook,
GB 662.3 .B85 2012,022734,"Bullard, Lisa","Bullard, Lisa;Xiao Xin",022734,Monograph,Learning Commons,General,,,,,24 p. : col. ill. ; 26 cm.,,text,Learning Commons,9780761385172 (pbk.),9780761385172,0761385177,GB 662.3 .B85 2012,2010053299,Minneapolis,c2012,2012,Millbrook Press,,Available,Water - Juvenile literature;Water - Pollution - Juvenile literature;Water;Water - Pollution,Watch over our water,
HE 554 .S2 C67 2010,1442,"Corbett, Michael R","Corbett, Michael R",B1442,Monograph,Bay Observatory,Gen-nonc,,,,,"248 p. : ill. (some col.), maps (some col.) ; 29 cm.",,text,Bay Observatory,9780615398310,9780615398310,0615398316,HE 554 .S2 C67 2010,,"San Francisco, Calif.",2010,2010,San Francisco Architectural Heritage,,Non-Circulating,"Port of San Francisco (Calif.) - History;Waterfronts - California - San Francisco - History;Harbors - California - San Francisco - History;Shipping - California - San Francisco - History;Historic buildings - California - San Francisco;San Francisco (Calif.) - Buildings, structures, etc","Port city : the history and transformation of the Port of San Francisco, 1848-2010",
TD 220 .C3 1993,6213,"Reisner, Marc","Reisner, Marc",007899,Monograph,Learning Commons,General,,,,,"viii, 582 p., [8] p. of plates : ill., maps ; 22 cm.",Rev. and updated,text,,0140178244 (pbk.) :,9780140178241,0140178244,HD1739.A17 R45 1993,93173272,"New York, N.Y., U.S.A.",1993,1993,Penguin Books,,Available,Irrigation - Government policy - West (U.S.) - History;Water resources development - Government policy - West (U.S.) - History;Political corruption - West (U.S.) - History;Political corruption;Water resources development;Irrigation,Cadillac desert : the American West and its disappearing water,
GE 195.7 .C76 1996,012098,"Stapp, William B","Stapp, William B",012098,Monograph,Learning Commons,Act-nonc,,Global Rivers Environmental Education Network,,,"iv, 149 p. : ill. ; 23 cm.",,text,Learning Commons,0787223905,9780787223908,0787223905,,,"Dubuque, Iowa",c1996,1996,Kendall/Hunt,,Available,Watershed management - Study and teaching;Multicultural education - Activity programs;Environmental education,Cross cultural watershed partners : activities manual,
GE 195.7 .C76 1996,7641,"Stapp, William B","Stapp, William B",012097,Monograph,Learning Commons,Activity,,Global Rivers Environmental Education Network,,,"iv, 149 p. : ill. ; 23 cm.",,text,,0787223905,9780787223908,0787223905,,,"Dubuque, Iowa",c1996,1996,Kendall/Hunt,,Available,Watershed management - Study and teaching;Multicultural education - Activity programs;Environmental education,Cross cultural watershed partners : activities manual,
QH 87.3 .D45 W65 2003,1463,"Wolff, Jane","Wolff, Jane;Starr, Kevin",B1463,Monograph,Bay Observatory,Gen-nonc,,,,,"195 p. : ill. (some col.), maps (some col.) ; 25 cm.",,text,Bay Observatory,0970973179 (hardcover),9780970973177,0970973179,QH 87.3 .D45 W65 2003,2003107768,"San Francisco : Santa Monica, CA",c2003,2003,William Stout Publishers ;;Distributed in North America by RAM Publications and Distribution,,Non-Circulating,Delta Region (Calif.) - Pictorial works;Watershed management - California;Wetland conservation;Shore protection;Ecology;Delta Region (Calif.) - Geography;Delta Region (Calif.) - Pictorial works. - Environmental conditions,Delta primer : a field guide to the California Delta,
QH 87.3 .D45 W65 2003,8924,"Wolff, Jane","Wolff, Jane;Starr, Kevin",019493,Monograph,Learning Commons,Activity,,,,2015-04-27 11:25:38.517,"195 p. : ill. (some col.), maps (some col.) ; 25 cm.",,text,,0970973179 (hardcover),9780970973177,0970973179,QH 87.3 .D45 W65 2003,2003107768,"San Francisco : Santa Monica, CA",c2003,2003,William Stout Publishers ;;Distributed in North America by RAM Publications and Distribution,,Available,Delta Region (Calif.) - Pictorial works;Watershed management - California;Wetland conservation;Shore protection;Ecology;Delta Region (Calif.) - Geography;Delta Region (Calif.) - Pictorial works. - Environmental conditions,Delta primer : a field guide to the California Delta,
GB 662.3 .W53 1997,7111,"Wick, Walter","Wick, Walter",010617,Monograph,Learning Commons,General,,,,2015-04-27 11:25:07.767,40 p. : col. ill. ; 30 cm.,,text,,0590221973,9780590221979,0590221973,GB 662.3 .W53 1997,95030068,New York,c1997,1997,Scholastic,,Available,Water - Juvenile literature;Water,A drop of water : a book of science and wonder,
TD 388.5 E68 1996,012134,California. Dept. of Water Resources,,012134,Monograph,Learning Commons,Act-nonc,,California. Dept. of Water Resources;California. Dept. of Education;Sonoma State University,,,"viii, 43 p. : ill. ; 22 x 29 cm.",,text,Learning Commons,,,,TD 388.5 E68 1996,,California,[1996],1996,California Dept. of Water Resources,,Available,Ecology - Study and teaching;Water-supply;Water;Water - California,Environmental education : compendium for water resources,Compendium for water resources
TD 422 .R93 1993,478,"Rybolt, Thomas R","Rybolt, Thomas R;Mebane, Robert C",002296,Monograph,Learning Commons,Activity,,,,,96 p. : ill. ; 24 cm.,,text,,0894904108 (lib. ed.),9780894904103,0894904108,TD 422 .R93 1993,92041235,"Hillside, NJ, U.S.A.",c1993,1993,Enslow Publishers,,Available,Water - Pollution - Experiments - Juvenile literature;Water - Purification - Experiments - Juvenile literature;Water - Experiments - Juvenile literature;Water - Experiments;Water - Pollution - Experiments;Water - Purification - Experiments;Acid rain - Experiments;Experiments;Hydrologic cycle - Experiments;Water cycles - Experiments,Environmental experiments about water,
QC 145 .M87 1991,005681,"Murphy, Bryan","Murphy, Bryan",005681,Monograph,Learning Commons,Activity,,,,,32 p.,,text,Learning Commons,1882210966,9781882210961,1882210966,,,"Ocala, FL",[1991?],1991,Action Pub.,,Available,Water - Experiments - Juvenile literature;Fluid mechanics - Experiments - Juvenile literature;Water cycles - Experiments,Experiment with water,
QC 145 .M87 1991,5458,"Murphy, Bryan","Murphy, Bryan",005675,Monograph,Learning Commons,Act-nonc,,,,,32 p.,,text,,1882210966,9781882210961,1882210966,,,"Ocala, FL",[1991?],1991,Action Pub.,,Available,Water - Experiments - Juvenile literature;Fluid mechanics - Experiments - Juvenile literature;Water cycles - Experiments,Experiment with water,
QL 681 .B37 2007,019917,"Bartley, Eddie","Bartley, Eddie;Chambers, Mark",019917,Monograph,Learning Commons,General,,,,,"85 p. : col. ill., col. map ; 21 cm.",,text,Learning Commons,,,,598.0979 F455,,"[San Francisco, Calif.",c2007,2007,Nature Trip],,Available,"Birds - California - San Francisco (Calif.) - Identification;Bird watching - California - San Francisco Bay Area;Ecology - California - San Francisco Bay;Wetlands;Water birds - San Francisco - California - Identification;Heron's Head Park (San Francisco, Calif.)","A field guide to 100 birds of Heron's Head : Islais Creek to Candlestick Point, San Francisco",One hundred birds of Heron's Head;Field guide to one hundred birds of Heron's Head;100 birds of Heron's Head
QL 681 .B37 2007,8962,"Bartley, Eddie","Bartley, Eddie;Chambers, Mark",019916,Monograph,Learning Commons,General,,,,,"85 p. : col. ill., col. map ; 21 cm.",,text,,,,,598.0979 F455,,"[San Francisco, Calif.",c2007,2007,Nature Trip],,Available,"Birds - California - San Francisco (Calif.) - Identification;Bird watching - California - San Francisco Bay Area;Ecology - California - San Francisco Bay;Wetlands;Water birds - San Francisco - California - Identification;Heron's Head Park (San Francisco, Calif.)","A field guide to 100 birds of Heron's Head : Islais Creek to Candlestick Point, San Francisco",One hundred birds of Heron's Head;Field guide to one hundred birds of Heron's Head;100 birds of Heron's Head
TD 367 .S69 1995,3981,"Stapp, William B","Stapp, William B;Mitchell, Mark K",001523,Monograph,Learning Commons,General,,,,,"vii, 335 p. : ill., map ; 23 cm.",1st ed.,text,,,,,,,"Dexter, MI",c1995,1995,Thomson-Shore,,Available,Water quality;Water quality - Measurement;Water quality biological assessment;Water - Pollution - Measurement;Stream ecology,Field manual for global low-cost water quality monitoring,
TD 367 .M58 1995,2938,"Mitchell, Mark K","Mitchell, Mark K;Stapp, William B",002483,Monograph,Learning Commons,Activity,,,,,272 p. : ill. ; 23 cm.,9th ed.,text,,,,,,,"Dexter, Mich.",c1995,1995,Thomson-Shore,,Available,"Water quality - Measurement - Handbooks, manuals, etc;Water quality - Study and teaching;Freshwater ecology - Study and teaching",Field manual for water quality monitoring : an environmental education program for schools,
