LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
GC 21.5 .S56 1988b,007916,"Simon, Seymour","Simon, Seymour;Carter, David A",007916,Monograph,Learning Commons,Activity,,,,2012-12-04 16:47:48.900,136 p. : ill. ; 22 cm.,,text,Learning Commons,0397322917,9780397322916,0397322917,551.46/007/8,,"New York, NY",c1988,1988,HarperCollins,,Available,Oceanography - Experiments - Juvenile literature;Seawater - Experiments - Juvenile literature;Water - Experiments - Juvenile literature,How to be an ocean scientist in your own home,
GC 21.5 .S56 1988b,6217,"Simon, Seymour","Simon, Seymour;Carter, David A",007915,Monograph,Learning Commons,Act-nonc,,,,,136 p. : ill. ; 22 cm.,,text,,0397322917,9780397322916,0397322917,551.46/007/8,,"New York, NY",c1988,1988,HarperCollins,,Available,Oceanography - Experiments - Juvenile literature;Seawater - Experiments - Juvenile literature;Water - Experiments - Juvenile literature,How to be an ocean scientist in your own home,
TD224.C3 C3723 2004,8511,"Carle, David","Carle, David",017309,Monograph,Learning Commons,General,,,,,"xv, 261 p. : col. ill., col. maps ; 20 cm.",,text,,0520235800 (alk. paper),9780520235809,0520235800,TD224.C3 C3723 2004,2003061246,Berkeley,c2004,2004,University of California Press,California natural history guides; 76,Available,Water-supply - California;Hydrology - California;Water-supply - California - Management,Introduction to water in California,
GB 661.2 .B35 1999,7716,"Ball, Philip","Ball, Philip",012139,Monograph,Learning Commons,General,,,,,"xii, 417 p. : ill., maps ; 24 cm.",1st ed.,text,,0374186286 (alk.  paper),9780374186289,0374186286,GB 661.2 .B35 1999,99059110,New York,c1999,1999,"Farrar, Straus and Giroux",,Available,Water,Life's matrix : a biography of water,H2O.
TD 487 .C64 1986,3249,"Cole, Joanna","Cole, Joanna;Degen, Bruce",002518,Monograph,Learning Commons,General,,,,,39 p. : col. ill. ; 20 x 24 cm.,,text (large print),,,,,,,New York,c1986,1986,Scholastic Inc.,,Available,"Waterworks - Juvenile literature;Hydrology - Juvenile literature;Waterworks;Frizzle, Ms. (Fictitious character)",The magic school bus at the waterworks,Magic school bus (Television program)
GB 5014 .M44 2006,019372,"Joseph, John","Joseph, John;Martin, J. V;Nelson, Erik",019372,DVD,Learning Commons,General,,New Video Group;Creative Differences Media;Arts and Entertainment Network;History Channel (Firm),,2015-04-27 11:26:36.953,"1 videodisc (ca. 50 min.) : sd., col. with b&w sequences ; 4 3/4 in.",,videorecording,Learning Commons,,,,GB 5014 .M44 2006,,New York,c2006,2006,A & E Home Video ,,Available,Watershed management - California;Disaster films;Documentary television programs;Floods,Mega disasters California's Katrina,Mega disasters (Television program);California's Katrina
TD 220 .C58 2001b,019375,"Raphael, Max","Raphael, Max;Nash, Bruce M;Peabody, Fred",019375,DVD,Learning Commons,General,,New Video Group;History Channel (Firm);A&E Home Video (Firm);Actuality Productions,,,"1 videodisc (ca. 50 min.) : sd., col. ; 4 3/4 in.",,DVD/videorecording,Learning Commons,,,,TD 220 .C58 2001b,,New York,2001,2001,A & E Home Video ,,Available,City planning;Waterworks;Water;Cities and towns - Growth;Civil engineering;Environmental engineering;Documentary television programs,Modern marvels. City Water,Ice.;Modern marvels
TD 220 .C58 2001,019714,"Peabody, Fred","Peabody, Fred;Genin, Beate;Nash, Bruce M;Raphael, Max;Cambou, Don",019714,DVD,Learning Commons,General,,History Channel (Firm);New Video Group;A&E Home Video (Firm);Actuality Productions,,,"1 videodisc (ca. 50 min.) : sd., col. ; 4 3/4 in.",,DVD/videorecording,Learning Commons,,,,TD 220 .C58 2001,,New York,2001,2001,A & E Home Video ,,Available,City planning;Cities and towns - Growth;Sewage disposal in the ocean;Sewage;Documentary television programs;Water;Civil engineering;Waterworks;Environmental engineering;Water - Pollution,Modern marvels. Sewers,Sewers..;Modern marvels
QH 87.3 .M38 2008,020051,"McTamaney, Fran","McTamaney, Fran;Moore, Genie;Spakoff, Sandy;Hutzel, Amy",020051,Monograph,Learning Commons,Activity,,Don Edwards San Francisco Bay National Wildlife Refuge,,,p. 336: ill. ; 28 cm.,"Sixth edition, Fall 2008. Looseleaf; includes copy masters for activities.",text,Learning Commons,,,,,,"Alviso, Calif.",2008,2008,Don Edwards San Francisco Bay National Wildlife Refuge,,Available,Water resources;Watershed management - California;Ecology - California - San Francisco Bay;Wetland ecology - Activity programs;Estuaries;Aquatic biology - California - San Francisco Bay Region. - California;San Francisco Bay Area (Calif.) - Description and travel,Salt marsh manual : an educator's guide for the wetland roundtrip fied trip,
TD 224 .S42 2000,018900,Save San Francisco Bay Association (Save the Bay),,018900,Monograph,Learning Commons,Activity,,Save San Francisco Bay Association (Save the Bay),,2013-08-01 12:57:38.473,300 p. + 37 p. appendices : ill. ; 30 cm.,Looseleaf; includes copy masters for activities.,text,Learning Commons,,,,,,"Oakland, Calif.?",2000,2000,Save The Bay,,Available,Water resources;Watershed management - California;Ecology - California - San Francisco Bay;Wetland ecology - Activity programs;San Francisco Bay Area (Calif.) - Description and travel,San Francisco Bay Watershed Curriculum ; a collection of activities and action projects about the .San Francisco Bay Watershed for middle and high school students,
TD 224 .S42 2000,018769,Save San Francisco Bay Association (Save the Bay),,018769,Monograph,Learning Commons,Activity,,Save San Francisco Bay Association (Save the Bay),,,300 p. + 37 p. appendices : ill. ; 30 cm.,Looseleaf; includes copy masters for activities.,text,Learning Commons,,,,,,"Oakland, Calif.?",2000,2000,Save The Bay,,Available,Water resources;Watershed management - California;Ecology - California - San Francisco Bay;Wetland ecology - Activity programs;San Francisco Bay Area (Calif.) - Description and travel,San Francisco Bay Watershed Curriculum ; a collection of activities and action projects about the .San Francisco Bay Watershed for middle and high school students,
TD 225 .S25 H26x 2002,8333,"Hanson, Warren D","Hanson, Warren D;Wurm, Theadore;Leonard, James H",016031,Monograph,Learning Commons,General,,,,2013-07-11 13:40:35.117,"60 p. : ill., map, ports. ; 30 cm.",,text,,,,,,,San Francisco,2002,2002,San Francisco Public Utility Commission,,Available,Hetch Hetchy Railroad;Water-supply engineering;Water resources development - United States;Water-supply - West (U.S.) - History;Hetch Hetchy Valley (Calif.);San Francisco (Calif.) - History,San Francisco Water and Power : a history of the Muncipal Water Department and Hetch Hetchy System,
GE 195.7 .S684 1996,6169,"Cole-Misch, Sally","Cole-Misch, Sally;Price, Larry;Schmidt, David",007854,Monograph,Learning Commons,Activity,,Global Rivers Environmental Education Network,,2013-08-01 12:57:22.333,"vii, 202 p. : ill., maps ; 28 cm.",,text,,0787223727,9780787223724,0787223727,GE 195.7 .S684 1996,96229750,"Dubuque, Iowa",c1996,1996,Kendall/Hunt Pub. Co.,,Available,Environmental responsibility - Study and teaching;Watersheds - Study and teaching;Environmental protection - Citizen participation - Study and teaching,Sourcebook for watershed education,
GE 195.7 .S684 1996,007855,"Cole-Misch, Sally","Cole-Misch, Sally;Price, Larry;Schmidt, David",007855,Monograph,Learning Commons,Act-nonc,,Global Rivers Environmental Education Network,,,"vii, 202 p. : ill., maps ; 28 cm.",,text,Learning Commons,0787223727,9780787223724,0787223727,GE 195.7 .S684 1996,96229750,"Dubuque, Iowa",c1996,1996,Kendall/Hunt Pub. Co.,,Available,Environmental responsibility - Study and teaching;Watersheds - Study and teaching;Environmental protection - Citizen participation - Study and teaching,Sourcebook for watershed education,
GB 671 .L39 1974,4855,"Leopold, Luna Bergere","Leopold, Luna Bergere",004123,Monograph,Learning Commons,General,,,,,"xvi, 172 p. illus. 24 cm.",,text,TI Classroom,0716702649,9780716702641,0716702649,GB 671 .L39 1974,73019844,"San Francisco,",[1974],1974,W. H. Freeman,,Lost,Water,Water; a primer,
TD 370 .W383 1995,5094,Globe Fearon Educational Publisher,,004764,Monograph,Learning Commons,Activity,,Globe Fearon Educational Publisher,,,"iv, 92 p. : ill. (some col.), map ; 26 cm.",,text,,0835907457,9780835907453,0835907457,TD 370 .W383 1995,94224633,"Paramus, N.J.",c1995,1995,Fearon Teacher Aids,"Environmental science (Paramus, N.J.); ;Environmental science; ",Available,Water-supply - Juvenile literature;Air - Pollution;Air - Pollution - Juvenile literature;Environmental sciences;Water-supply,Water and air.,
GB 980 .R46 2005,019998,"Rennie, John","Rennie, John",019998,Monograph,Learning Commons,General,,,,,p.80 illus. 29 cm.,,text,Learning Commons,,,,GB 980 .R46 2005,,"San Francisco,",[2005],2005,W. H. Freeman,,Available,Water conservation;Water - Pollution;Wetland conservation;Hydrodynamics;Ocean-atmosphere interaction;Fluid mechanics;Climatic changes;Global warming;Environmental sciences,The water of life: our planet's most valuable resource ; readings from Scientific American.,Scientific American
GB 658.5 .W38 1988,002761,"Wiebe, Arthur J","Wiebe, Arthur J;Hillen, Judith;Youngs, Dave;Allen, Maureen;Cantu, Max;Hammeras, Lori",002761,Monograph,Learning Commons,Act-nonc,,AIMS Education Foundation,,,"vii, 91 leaves : ill. ; 29 cm.",,text,Learning Commons,1881431223,9781881431220,1881431223,GB 658.5 .W38 1988,,"Fresno, Calif.",c1988,1988,AIMS Education Foundation,,Non-Circulating,"Water - Experiments - Juvenile literature;Science - Experiments - Juvenile literature;Mathematics - Study and teaching (Elementary);Mathematics - Problems, exercises, etc;Science - Study and teaching (Elementary)",Water precious water,
GB 658.5 .W38 1988,440,"Wiebe, Arthur J","Wiebe, Arthur J;Hillen, Judith;Youngs, Dave;Allen, Maureen;Cantu, Max;Hammeras, Lori",007213,Monograph,Learning Commons,Activity,,AIMS Education Foundation,,,"vii, 91 leaves : ill. ; 29 cm.",,text,,1881431223,9781881431220,1881431223,GB 658.5 .W38 1988,,"Fresno, Calif.",c1988,1988,AIMS Education Foundation,,Available,"Water - Experiments - Juvenile literature;Science - Experiments - Juvenile literature;Mathematics - Study and teaching (Elementary);Mathematics - Problems, exercises, etc;Science - Study and teaching (Elementary)",Water precious water,
QC 145.24 .G66 2004,8679,"Goodstein, Madeline P","Goodstein, Madeline P",017917,Monograph,Learning Commons,Activity,,,,,128 p. : ill. ; 24 cm.,,text,,0766021246 (lib. bdg.),9780766021242,0766021246,QC 145.24 .G66 2004,2003008510,"Berkeley Heights, NJ",c2004,2004,Enslow Publishers,,Available,Water - Experiments - Juvenile literature;Water - Experiments;Experiments;Change of state (Physics) - Study and teaching (Secondary);Surface tension,"Water science fair projects : using ice cubes, super soakers, and other wet stuff",
TD 388 .B39 2008,020030,Bay Area Regional Water Recycling Program (BARWRP),,020030,Monograph,Learning Commons,Activity,,Bay Area Regional Water Recycling Program (BARWRP),,,78 p. : ill. ; 28 cm.,,text,Learning Commons,,,,TD 388 .B39 2008,,[Walnut Creek,2008],2008,Bay Area Regional Water Recycling Program,,Available,Water conservation;Watershed management - California;Wetland ecology - Activity programs;Water cycles;Ecology - California - San Francisco Bay,"Water supply issues : Quality, recycling and the environment / middle school curriculum",
QC 863.5 .W34 2003,019447,,,019447,Monograph,Learning Commons,Gen-nonc,,,,,16 p. : col. ill. ; 26 cm.,3rd ed.,text,Learning Commons,1592422551,9781592422555,1592422551,QC 863.5 .W34 2003,,"Nashua, NH",c2003,2003,Delta Education,,Non-Circulating,Weather - Juvenile literature;Seasons - Juvenile literature;Severe storms;Water cycles;Simple vocabulary for English Language Learners,Weather watching,
QC 863.5 .W34 2003,019448,,,019448,Monograph,Learning Commons,General,,,,,16 p. : col. ill. ; 26 cm.,3rd ed.,text,Learning Commons,1592422551,9781592422555,1592422551,QC 863.5 .W34 2003,,"Nashua, NH",c2003,2003,Delta Education,,Available,Weather - Juvenile literature;Seasons - Juvenile literature;Severe storms;Water cycles;Simple vocabulary for English Language Learners,Weather watching,
GB 651 B11 2009,020247,,,020247,Monograph,Learning Commons,General,,,,,p. cm.,,text,Learning Commons,9780520259348,9780520259348,0520259343,GB 651 B11 2009,,,2009,2009,Univ of California Pr,,Available,Atlas - water - resources;Resources,The Atlas of Water Mapping the World's Most Critical Resource.,
F 869 .S347 D45 2009,1446,"Delgado, James P","Delgado, James P",B1446,Monograph,Bay Observatory,Gen-nonc,,,,,"xiv, 238 p., [24] p. of plates : ill., maps ; 24 cm.",,text,Bay Observatory,9780520255807 (cloth : alk. paper),9780520255807,0520255801,F 869 .S347 D45 2009,2008034388,Berkeley,c2009,2009,University of California Press,,Non-Circulating,Waterfronts - California - San Francisco - History;Harbors - California - San Francisco - History;Archaeology and history - California - San Francisco;Urban archaeology - California - San Francisco;San Francisco (Calif.) - Antiquities;San Francisco (Calif.) - Commerce - History;San Francisco <Calif.>,Gold rush port : the maritime archaeology of San Francisco's waterfront,
TD 224 .C3 C3723 2009,1448,"Carle, David","Carle, David",B1448,Monograph,Bay Observatory,Gen-nonc,,,,,"xxvii, 261 p. : ill. (chiefly col.), col. maps ; 19 cm.",Updated /,text,Bay Observatory,9780520260160 (pbk.),9780520260160,0520260163,TD 224 .C3 C3723 2009,2010485096,Berkeley,c2009,2009,University of California Press,California natural history guides ;; no. 76,Non-Circulating,Water-supply - California;Hydrology - California;Water-supply - California - Management,Introduction to water in California,
F 869 .S36 M58 2010,1461,"Olmsted, Nancy","Olmsted, Nancy;Carlsson, Chris;Isaacson, Bob, conservationist",B1461,Monograph,Bay Observatory,Gen-nonc,,Mission Creek Conservancy,,,"ix, 134 p., [1] folded leaf : ill., maps ; 29 cm.","2nd ed., rev. and expanded /",text,Bay Observatory,9780961149215,9780961149215,0961149213,F 869 .S36 M58 2010,,"San Francisco, Calif.",c2010,2010,Mission Creek Conservancy,,Non-Circulating,"Waterfronts - California - San Francisco - History;Mission Bay (San Francisco, Calif.) - History;San Francisco (Calif.) - History",Vanished waters : a history of San Francisco's Mission Bay,
TD 224 .C3 M33 2000,1480,"McClurg, Sue","McClurg, Sue",B1480,Monograph,Bay Observatory,Gen-nonc,,,,,"167 p. : ill. (some col.), col. maps ; 22 x30 cm.",,text,Bay Observatory,1890771333 (pbk.),9781890771331,1890771333,TD 224 .C3 M33 2000,00009145,"Sacramento, CA",c2000,2000,Water Education Foundation :;Distributed to the trade by Heyday Books,,Non-Circulating,Water-supply - California - Management - History;Water resources development - California - History;Water-supply engineering - California - History;California - History,"Water & the shaping of California : a literary, political, and technological perspective on the power of water, and how the effort to control it has transformed the state",Water and the shaping of California
,1485,"Ramirez-Herrera, M. Teresa","Ramirez-Herrera, M. Teresa;Sowers, Janet M;Richard, Christopher M",B1485,Monograph,Bay Observatory,Gen-nonc,,Oakland Museum of California;San Francisco Estuary Institute,,,1 map : col. ; on sheet 92 x 61 cm.,,text,Bay Observatory,1882140338,9781882140336,1882140338,,,"Oakland, Calif.",2007,2007,Oakland Museum of California,,Non-Circulating,Rivers - California - San Francisco - Maps;Watersheds - California - San Francisco - Maps;San Francisco (Calif.) - Maps,Creek & watershed map of San Francisco,Creek and watershed map of San Francisco
G 4362 .S336 C3 2005,1487,"Grossinger, Robin","Grossinger, Robin;Askevold, Ruth",B1487,Monograph,Bay Observatory,Gen-nonc,,Oakland Museum of California;San Francisco Estuary Institute,,,"1 map : col. ; 41 x 85 cm., on sheet 61 x 92 cm.",,text,Bay Observatory,,,,G 4362 .S336 C3 2005,,"Oakland, CA",c2005,2005,Oakland Museum of California,,Non-Circulating,Rivers - California - San Francisco Bay - Maps;Watersheds - California - San Francisco Bay - Maps;Wetlands - California - San Francisco Bay - Maps;San Francisco Bay (Calif.) - Maps,Baylands & creeks of South San Francisco Bay,"Conversion to salt ponds, 1850s to 1950s.;Baylands and creeks of South San Francisco Bay;South Bay Circa 1850."
G 4364 .O2 C3 1995,1488,"Sowers, Janet M","Sowers, Janet M;Mosher, Carolyn J",B1488,Monograph,Bay Observatory,Gen-nonc,,Oakland Museum;San Francisco Estuary Institute,,,"1 map : col. ; on sheet 62 x 92 cm., folded in folder 21 x 12 cm.","1993, rev. 1995.",text,Bay Observatory,1882140117,9781882140114,1882140117,G 4364 .O2 C3 1995,,"Oakland, Calif.",1995,1995,Oakland Museum of California,,Non-Circulating,Rivers - California - Oakland - Maps;Rivers - California - Berkeley - Maps;Rivers - California - Albany - Maps;Watersheds - California - Oakland - Maps;Watersheds - California - Berkeley - Maps;Watersheds - California - Albany - Maps,Creek & watershed map of Oakland & Berkeley,Creek and watershed map of Oakland and Berkeley;Creeks of the East Bay
G 4364 .R6 .S6C3 2006,1491,"Sowers, Janet M","Sowers, Janet M",B1491,Monograph,Bay Observatory,Gen-nonc,,Oakland Museum of California,,,1 map : col. ; on sheet 92 x 61 cm.,,text,Bay Observatory,188214029X,9781882140299,188214029X,G 4364 .R6 .S6C3 2006,,"Oakland, Calif.",2006,2006,Oakland Museum of California,,Non-Circulating,Rivers - California - Contra Costa County - Maps;Rivers - California - Richmond - Maps;Watersheds - California - Contra Costa County - Maps;Watersheds - California - Richmond - Maps;Contra Costa County (Calif.) - Maps;Richmond (Calif.) - Maps,Creek & watershed map of Richmond & vicinity,"Creek and watershed map of Richmond and vicinity;West Contra Costa watersheds.;West Contra Costa waterscape[s] circa 1800, 1900 and 2000.;Historic creeks of the Baxter Creek Watershed."
QC 183 .G675,020731,"Gold-Dworkin, Heidi","Gold-Dworkin, Heidi",020731,Monograph,Learning Commons,Activity,,,,,58 p. : col. ill. ; 28 cm.,,text,Learning Commons,0071348239 (pbk.) :,9780071348232,0071348239,QC 183 .G675,,New York,c2000,2000,McGraw-Hill,,Available,Water - Juvenile literature;Bubbles - Juvenile literature;Water - Experiments - Juvenile literature;Bubbles - Experiments - Juvenile literature,Fun with water and bubbles,
F 869 .S357 R83 2011,1508,"Rubin, M. Jasper","Rubin, M. Jasper",B1508,Monograph,Bay Observatory,General,,,,,"xv, 338 p. : ill., maps ; 24 cm.",1st ed.,text,Bay Observatory,9781935195283 (acid-free paper),9781935195283,193519528X,F 869 .S357 R83 2011,2011018494,"Chicago, Ill.",2011,2011,Center for American Places at Columbia College Chicago,,Non-Circulating,Waterfronts - California - San Francisco - History;Harbors - California - San Francisco - History;Landscapes - California - San Francisco - History;Social change - California - San Francisco - History;City planning - California - San Francisco - History;Architecture - California - San Francisco - History;San Francisco (Calif.) - History;San Francisco (Calif.) - Social conditions;San Francisco (Calif.) - Politics and government,A negotiated landscape : the transformation of San Francisco's waterfront since 1950,
